,player_id,player_name,player_firstname,player_lastname,player_birth_date,player_height,player_weight,player_injured,statistics_league_season,statistics_games_appearences,statistics_games_lineups,statistics_games_minutes,statistics_games_position,statistics_games_rating,statistics_games_captain,statistics_substitutes_in,statistics_substitutes_out,statistics_substitutes_bench,statistics_shots_total,statistics_shots_on,statistics_goals_total,statistics_goals_conceded,statistics_goals_assists,statistics_goals_saves,statistics_passes_total,statistics_passes_key,statistics_passes_accuracy,statistics_tackles_total,statistics_tackles_blocks,statistics_tackles_interceptions,statistics_duels_total,statistics_duels_won,statistics_dribbles_attempts,statistics_dribbles_success,statistics_fouls_drawn,statistics_fouls_committed,statistics_cards_yellow,statistics_cards_yellowred,statistics_cards_red,statistics_penalty_won,statistics_penalty_commited,statistics_penalty_scored,statistics_penalty_missed,statistics_penalty_saved,full_player_name,club_names_tm,tm_player_value
6741,9361,Henrique Vermudt,Henrique,Vermudt,1999-02-25,185 cm,,False,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henrique Vermudt,Coritiba Foot Ball Club,
6742,9650,Reinaldo,Reinaldo,Nascimento Satorno,2001-06-06,177 cm,77 kg,False,2022,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reinaldo Nascimento Satorno,Club Athletico Paranaense,
6743,136124,Edu,Lucas Eduardo,Ribeiro de Souza,2000-06-16,188 cm,87 kg,False,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucas Eduardo Ribeiro de Souza,Club Athletico Paranaense,
6744,197323,Wendel Lessa,Wendel,Lessa de Macedo Gonçalves,2002-02-06,,,False,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wendel Lessa de Macedo Goncalves,Botafogo de Futebol e Regatas,
6745,208808,Marcos Brito,Marcos,Rodrigues de Brito,2001-01-30,,,False,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcos Rodrigues de Brito,Cuiaba Esporte Clube (MT),
6746,287801,Pop,Whevertton,Pereira de Oliveira,2002-03-30,171 cm,73 kg,False,2022,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whevertton Pereira de Oliveira,Cuiaba Esporte Clube (MT),
6747,305810,Dudu,Eduardo,Scheit,2001-02-25,177 cm,69 kg,False,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eduardo Scheit,Club Athletico Paranaense,
6748,306363,Ewerton,Ewerton Vinicius,Santana Porto,2001-03-07,,,False,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ewerton Vinicius Santana Porto,Botafogo de Futebol e Regatas,
6749,312210,Adiel,Adiel,Oliveira da Silva,2001-12-13,,,False,2022,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adiel Oliveira da Silva,Avai Futebol Clube (SC),
6750,314162,Diogo Batista,Diogo,Batista de Souza,2003-08-29,,,False,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diogo Batista de Souza,Coritiba Foot Ball Club,
6751,351485,Danielzinho,Daniel Sergio,Martins,2002-06-28,169 cm,,False,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Sergio Martins,Club Athletico Paranaense,
6752,353687,Lucas,Lucas,da Silva Chagas,2003-05-24,,,False,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucas da Silva Chagas,Atletico Clube Goianiense,
6753,356534,André Wenderrosky Sanches,André,Wenderrosky Sanches,2001-07-16,176 cm,77 kg,False,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andre Wenderrosky Sanches,Fluminense Football Club,
6754,356545,Landistayne,Landistayne,Santos Silva,2004-10-18,175 cm,61 kg,False,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Landistayne Santos Silva,Cuiaba Esporte Clube (MT),
6755,356837,Guilherme,Guilherme Elias,Cardoso,2004-03-26,,,False,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guilherme Elias Cardoso,Goias Esporte Clube,
6756,356838,Pablo,Pablo,Martins da Silva,2003-06-07,,,False,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pablo Martins da Silva,Goias Esporte Clube,
6757,356839,Gustavo Xavier,Gustavo Xavier,Teixeira,2004-02-20,,,False,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gustavo Xavier Teixeira,Goias Esporte Clube,
6758,358006,Jefinho,Jeferson,Cavalcante Fernandes Filho,2002-01-14,,,False,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeferson Cavalcante Fernandes Filho,Botafogo de Futebol e Regatas,
6759,358568,Jeder,Jeder Valtemir,Jardim da Silva,2002-01-05,,,False,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeder Valtemir Jardim da Silva,Esporte Clube Juventude,
6760,361752,Jhonnatha Borges,Jhonnatha,Souza Borges,2004-04-20,,,False,2022,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jhonnatha Souza Borges,Botafogo de Futebol e Regatas,
6761,9899,Luan Madson Gedeão de Paiva,Luan,Madson Gedeão de Paiva,1990-08-11,170 cm,69 kg,False,2022,2.0,0.0,46.0,Midfielder,6.8,False,2.0,0.0,3.0,1.0,,0.0,0.0,,,24.0,2.0,9.0,1.0,,,7.0,3.0,3.0,2.0,,1.0,1.0,0.0,0.0,,,0.0,0.0,,Luan Madson Gedeao de Paiva,Goias Esporte Clube,
6762,10277,Edinho,Edimo,Ferreira Campos,1983-01-15,183 cm,83 kg,False,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edimo Ferreira Campos,Fluminense Football Club,
6763,10391,A. D&apos;Alessandro,Andrés Nicolás,D'Alessandro,1981-04-15,174 cm,68 kg,False,2022,1.0,1.0,72.0,Midfielder,7.7,False,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,,56.0,3.0,44.0,,,,6.0,2.0,1.0,1.0,1.0,,1.0,0.0,0.0,,,0.0,0.0,,Andres Nicolas D'Alessandro,Sport Club Internacional,
6764,80530,Yuri Oliveira,Yuri,de Oliveira,2001-01-02,177 cm,71 kg,False,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yuri de Oliveira,Clube de Regatas do Flamengo,
6765,195099,João Fernando,João Fernando,Monteiro Siqueira,2001-03-01,186 cm,80 kg,False,2022,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joao Fernando Monteiro Siqueira,Clube de Regatas do Flamengo,
6766,197361,Leocovick,Leonardo,Leocovick,1999-06-15,180 cm,73 kg,False,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leonardo Leocovick,Avai Futebol Clube (SC),
